SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,16690.1747910620809055
ETH,Ethereum,1180.9757750141325215
USDT,Tether,1.0002406951292558
USDC,USD Coin,1.0003466193270580
BNB,BNB,247.7823158029735085
BUSD,Binance USD,1.0002209001922600
XRP,XRP,0.3395886260577515
DOGE,Dogecoin,0.0768970292912116
ADA,Cardano,0.2628404739868832
MATIC,Polygon,0.7888469965008258
DAI,Multi Collateral DAI,0.9999442018791024
DOT,Polkadot,4.6202594979845018
TRX,TRON,0.0540455345611763
SHIB,Shiba Inu,0.0000086652310550
LUNA,Terra,1.3221651637968234
LTC,Litecoin,63.2248600981537986
SOL,Solana,12.2148533461245771
UNI,Uniswap,5.2924314706364110
AVAX,Avalanche,11.9090873587773779
LEO,UNUS SED LEO,3.7611806504911986
WBTC,Wrapped Bitcoin,16660.6108685943134751
LINK,Chainlink,5.9898526790660219
XMR,Monero,144.7099055943266734
ATOM,Cosmos,8.8555034354637998
ETC,Ethereum Classic,15.8147642963379690
XLM,Stellar,0.0768936649675732
BCH,Bitcoin Cash,101.3766082953650882
CRO,Crypto.com Coin,0.0567652883830463
QNT,Quant,109.8773684231988927
ALGO,Algorand,0.1826036335203404
OKB,OKB,21.7045894080673171
VET,VeChain,0.0166086281588795
NEAR,NEAR Protocol,1.3470883042974492
FIL,Filecoin,3.0152880276677321
ICP,Internet Computer,3.6766614960811016
EOS,EOS,0.8834541351508294
EGLD,MultiversX (Elrond),38.9465451818995635
BTCB,Bitcoin BEP2,16689.7234332489626721
BSV,Bitcoin SV,44.8765850727692999
HT,Huobi Token,5.4522908597840172
FLOW,Flow,0.7613910365057561
AAVE,Aave,55.8461030343499567
XTZ,Tezos,0.8263956184972276
TUSD,TrueUSD,0.9945025133276979
THETA,THETA,0.7512186794687376
CHZ,Chiliz,0.1148438425690641
ZEC,Zcash,43.5197173931028675
AXS,Axie Infinity,6.9596229974573089
SAND,The Sandbox,0.4579288394735283
TWT,Trust Wallet Token,1.5796133767130398
HBAR,Hedera Hashgraph,0.0434156299265989
KCS,KuCoin Token,6.4680071496849527
MANA,Decentraland,0.3253158182158658
GUSD,Gemini Dollar,0.9750359588911932
CAKE,PancakeSwap,3.4426819633231320
FTM,Fantom,0.2057786571619701
MKR,Maker,545.0422662525119464
GRT,The Graph,0.0578965536446639
DASH,Dash,43.6997714939828926
KLAY,Klaytn,0.1563919308409645
XEC,eCash,0.0000244206981973
NEO,Neo,6.6318189076683519
MIOTA,IOTA,0.1658518080403777
RUNE,THORChain,1.3407651869971441
FEI,Fei Protocol,0.9846150101469712
SNX,Synthetix,1.6241314376544197
MINA,Mina,0.4788122038827766
GT,GateToken,3.3826884962390346
NEXO,Nexo,0.6321168592451938
FTT,FTX Token,1.0275122412773820
STX,Stacks,0.2289977899366392
LDO,Lido DAO,0.9799783357619198
1INCH,1inch Network,0.3973423701871210
CRV,Curve DAO Token,0.5556278160505343
ZIL,Zilliqa,0.0184665962597060
XDC,XinFin Network,0.0235124312242202
CSPR,Casper,0.0272374781665001
BAT,Basic Attention Token,0.1885654144001811
LRC,Loopring,0.2110338617687350
DCR,Decred,19.2034287269139957
XEM,NEM,0.0300628270092473
BTG,Bitcoin Gold,15.3784086671347545
ENJ,Enjin Coin,0.2638679858532323
HOT,Holo,0.0015170906956505
AR,Arweave,7.7164210064855753
BAL,Balancer,5.4544716135987592
CELO,Celo,0.5191663444935747
COMP,Compound,33.8628487302752888
RVN,Ravencoin,0.0199169308009042
DFI,DeFiChain,0.4469441133750031
HNT,Helium,1.6978062523849764
GNO,Gnosis,86.5428233045114983
SUSHI,SushiSwap,0.9873561629285632
ROSE,Oasis Network,0.0382813440466670
KSM,Kusama,25.4137186446762887
QTUM,Qtum,2.0264349270566610
TFUEL,Theta Fuel,0.0355068485286767
USTC,TerraClassicUSD,0.0213254599938497
CHSB,SwissBorg,0.2087140061375407
YFI,yearn.finance,5641.3037882569015972
